year,url,height
2010,images/2010/12/31/us/HORSES-1/HORSES-1-articleLarge.jpg,315
2010,images/2010/12/31/us/HORSES-1/HORSES-1-articleLarge.jpg,315
2010,images/2010/12/30/world/30iht-dutch_337-span/30iht-dutch_337-span-articleLarge.jpg,330
2010,images/2010/12/30/world/30iht-dutch_337-span/30iht-dutch_337-span-articleLarge.jpg,330
2011,images/2011/12/29/us/PAUL-2/PAUL-2-articleLarge.jpg,330
2011,images/2011/12/28/us/NIGHTCLUBS/NIGHTCLUBS-articleLarge.jpg,330
2011,images/2011/12/27/us/GUNS-3/GUNS-3-articleLarge.jpg,350
2011,images/2011/12/24/us/24jordans_337_span/24jordans_337_span-articleLarge.jpg,330
2012,images/2012/12/21/us/jp-POT-1/jp-POT-1-articleLarge-v2.jpg,400
2012,images/2012/12/18/us/MARIJUANA/MARIJUANA-articleLarge.jpg,330
2012,images/2012/12/07/nyregion/MARIJUANA/MARIJUANA-articleLarge.jpg,330
2012,images/2012/12/06/fashion/06zSYOGA/06zSYOGA-articleLarge.jpg,352
2013,images/2013/12/26/us/SEBASTOPOL-1/SEBASTOPOL-1-articleLarge.jpg,400
2013,images/2013/12/19/fashion/19ZVAPORIZER/19ZVAPORIZER-articleLarge.jpg,599
2013,images/2013/12/14/us/Marijuana-1/Marijuana-1-articleLarge.jpg,386
2013,images/2013/12/18/science/18wellmarj/18wellmarj-articleLarge.jpg,394
2014,images/2014/08/15/opinion/8152014marijuana/8152014marijuana-articleLarge.jpg,385
2014,images/2014/08/01/blogs/marijuana1/marijuana1-articleLarge.jpg,450
2014,images/2014/07/28/opinion/7282014plant/7282014plant-articleLarge.jpg,382
2014,images/2014/07/28/opinion/7292014mj/7292014mj-articleLarge.jpg,355
2014,images/2014/09/21/opinion/21dowd-img/21dowd-img-articleLarge.jpg,427
