year,url,height
2007,images/2007/12/30/nyregion/30shoot.span.jpg,325
2007,images/2007/12/30/world/30kenya.xlarge1.jpg,360
2007,images/2007/12/30/world/30kenya2_337.jpg,250
2007,images/2007/12/09/world/09kosovo.600.jpg,330
2007,images/2007/09/16/us/17protest.xlarge1.jpg,350
2008,images/2008/12/09/world/greece_span.jpg,350
2008,images/2008/12/05/world/05mideast_600.JPG,331
2008,images/2008/12/05/world/05mideast_337.jpg,220
2009,images/2009/12/15/us/15pittsburgh_CA0/articleLarge.jpg,330
2009,images/2009/11/25/business/25vancouver_CA0/popup.jpg,433
2009,images/2009/10/26/world/26mexico_CA0-span/articleLarge.jpg,353
2009,images/2009/10/01/fashion/01codes-500.jpg,500
2009,images/2009/09/23/world/honduras.650.1.jpg,450
2009,images/2009/09/23/world/honduras.337.1.jpg,250
2010,images/2010/10/07/nyregion/YALE1/YALE1-articleLarge.jpg,315
2010,images/2010/10/07/nyregion/YALE1/YALE1-articleLarge.jpg,315
2010,images/2010/10/03/arts/BUDRUS-SPAN/BUDRUS-SPAN-articleLarge.jpg,335
2010,images/2010/10/03/arts/BUDRUS-SPAN/BUDRUS-SPAN-articleLarge.jpg,335
2011,images/2011/12/21/world/EGYPT/EGYPT-articleLarge.jpg,360
2011,images/2011/12/19/world/19egypt3/19egypt3-articleLarge.jpg,347
2011,images/2011/12/18/world/egypt1/egypt1-articleLarge.jpg,330
2011,images/2011/12/06/world/europe/MOSCOW-REFER/MOSCOW-REFER-articleLarge.jpg,330
2011,images/2011/12/05/us/sub-occupy/sub-occupy-articleLarge.jpg,370
