Country,Northernmost.x,Northernmost.y,Southernmost.x,Southernmost.y,Westernmost.x,Westernmost.y,Easternmost.x,Easternmost.y,Popdensity
Argentina,-21.48,-66.13,-55.35,-66.33,-50.4,-73.3,-26.1,-53.41,14.29
Azerbaijan,41.54,46.25,38.24,48.39,41.18,45,40.18,50.33,91.36
Austria,48.59,17.6,46.22,14.33,47.16,9.31,48,17.9,97.6
Australia,-9.82,143.52,-55.03,158.46,-26.09,113.09,-28.38,153.36,3
Belgium,51.13,4.25,49.32,5.29,51.06,2.35,50.24,6.15,339.71
Belarus,56.1,28.07,51.16,30.35,52.17,23.11,53.24,32.47,49.62
Bhutan,28.13,89.47,26.42,89.46,27.8,88.44,27.17,92.7,47.5
Brazil,5.15,-60.12,-33.45,-53.22,-7.32,-73.59,-7.09,-34.47,21.86
British,60.18,-1.16,48.95,-2.13,52.45,-10.39,52.48,1.76,
Bulgaria,44.21,22.67,41.23,25.28,42.31,22.36,43.53,28.6,67.17
Canada,88.64,-69.57,41.4,-82.4,60.18,-141.07,47.31,-52.37,3
Chile,-17.29,-69.28,-53.53,-71.17,-46.43,-75.38,-22.59,-66.58,21.11
Colombia,12.27,-71.39,-4.13,-69.56,1.39,-79,1.13,-66.51,37.72
Croatia,46.33,16.22,42.24,18.32,45.29,13.3,45.12,19.27,79.51
Cyprus,35.43,34.36,34.34,33.1,35.3,32.16,35.43,34.36,84.34
Czech Republic,51.03,14.18,48.33,14.19,50.15,12.05,49.33,18.51,129.85
Denmark,57.44,10.35,54.58,9.21,55.34,8.5,56.27,10.37,126.06
Estonia,59.49,26.21,57.3,26.37,58.19,21.45,59.22,28.12,29.47
Ethiopia,14.53,37.55,3.52,39.05,7.57,33,8,48,64.81
Finland,70.05,27.57,59.3,20.2,69.03,20.32,62.54,31.35,15.5
France,51.05,2.32,42.2,2.31,48.24,4.47,48.58,8.13,110.88
Germany,54.54,8.49,47.16,10.1,51.3,5.52,51.16,15.2,230.89
Greece,41.44,26.11,36.23,22.29,39.41,19.59,41.23,26.38,80.86
Croatia,46.33,16.22,42.24,18.32,45.29,13.3,45.12,19.27,79.51
Hungary,48.34,20.51,45.47,18.24,46.87,16.15,47.57,22.52,107.57
Ireland,55.25,-7.14,51.23,-9.36,52.4,10.39,54.24,-5.21,57.14
Iceland,67.08,-18.41,63.17,-20.35,65.3,-24.32,64.35,-13.14,3
India,33.24,76.82,8.06,77.55,23.71,68.03,27.12,97.16,328.59
Indonesia,6.4,95.6,11,122.52,5.47,94.58,9.7,141.1,126.06
Iran,39.44,44.37,25.52,55.2,39.22,44.3,27.8,63.14,41.27
Italy,47.5,12.11,37.55,15.59,45.6,6.37,40.6,18.31,192.89
Jordan,33.22,38.47,29.11,36.04,29.21,34.57,32.14,39.17,62.4
Latvia ,58.08,25.19,55.67,26.59,56.35,20.97,56.27,28.24,36
Lithuania,56.27,24.53,53.53,24.21,55.16,20.58,55.17,26.5,55.16
Luxembourg,50.1,6.1,49.26,6.02,49.54,5.44,49.49,6.32,181.21
Malaysia,7.22,117.14,0.51,110.34,6.5,98.55,5.14,119.16,72.64
Mexico,32.43,-114.43,15.16,-91.95,29.1,-118.16,21.14,-86.44,53.84
Moldova,48.28,27.35,45.29,28.12,48.16,26.4,46.24,30.05,131.65
Malta,36.4,14.14,35.47,14.24,36.5,14.12,35.5,14.34,"1,261.08"
New Zealand,-29.13,-177.52,-52.37,-169.07,-50.79,-165.87,-43.96,-175.75,15.02
Norway,71.08,27.39,58,7.3,60.48,4.56,70.17,31.03,14.17
Netherlands,53.27,6.44,50.45,5.54,51.18,3.21,53.1,7.13,395.11
Poland,54.5,18.04,49,22.84,52.83,14.12,50.86,24.14,123.56
Portugal,42.07,-8.11,36.57,-7.53,38.46,-9.3,41.29,-6.16,114.36
Pakistan,37.08,74.69,23.69,68.13,29.85,60.87,35.44,77.89,202.03
Philippines,21.07,121.57,4.24,119.14,7.53,116.53,7.2,126.34,292.86
Russia,77.44,104.15,41.13,47.51,54.39,19.55,66.4,169.39,8
Romania,48.15,26.43,43.4,25.22,46.08,20.19,45.09,29.4,94.02
San Marino,43.59,12.3,43.53,12.27,43.56,12.24,43.56,12.31,473.44
Slovakia,49.15,19.21,47.44,18.17,48.22,16.51,49.05,22.34,111.2
Scotland,58.4,-3.22,54.38,-4.52,56.42,-6.13,57.3,-1.46,68
Slovenia,46.53,16.14,45.25,15.1,46.17,13.23,46.28,16.36,99.2
Spain,43.47,-7.41,36,-5.36,43.02,-9.18,42.19,3.19,79.92
Sweden,69.06,20.54,55.33,13.35,58.99,11.11,65.81,24.15,20.01
Serbia,46.11,19.4,42.13,21.41,45.51,18.56,43.08,22.55,105.81
China,53.33,123.16,18.09,109.34,39.38,73.49,47.44,134.46,136.12
Japan,45.31,141.56,30.59,130.39,33.13,129.33,43.23,145.49,337.23
Mongolia,51.59,98.92,38.83,105.66,47.7,86.87,46.8,119.97,2
United States,49.23,-95.9,24.31,-81.57,48.1,-124.46,44.48,-66.56,84
