7/21/2014,Sq Cafe Grumpy,CHECKCARD 0719 SQ *CAFE GRUMPY - GREEN Brooklyn NY 24692164200000531443393,8.5,BofA Core Checking,Pour Over,,
4/28/2014,Sq Gimme Coffee,CHECKCARD 0427 SQ *GIMME! COFFEE Brooklyn NY 24692164117000216442209,2.5,BofA Core Checking,Pour Over,,
12/23/2013,Sq Cafe Grumpy,CHECKCARD 1221 SQ *CAFE GRUMPY - GREEN Brooklyn NY 24692163355000467598033,5.75,BofA Core Checking,Pour Over,,
10/07/2013,Sq Cafe Grumpy,CHECKCARD 1005 SQ *CAFE GRUMPY - GREEN Brooklyn NY 24692163278000776360400,7.5,BofA Core Checking,Pour Over,,
3/25/2014,Sq Tar Pit,CHECKCARD 0324 SQ *TAR PIT New York NY 24692164083000336338964,4.75,BofA Core Checking,Latte,,
12/16/2013,Starbucks,CHECKCARD 1214 STARBUCKS #00825 NEW YO New York NY 24692163349000293369616,14.84,BofA Core Checking,Latte,Latte:36,
8/01/2014,Sq Brooklyn Roasting,CHECKCARD 0731 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164212000648905777,8.25,BofA Core Checking,Iced Latte,,
5/28/2014,Sq Roasting Com,SQ *BROOKLYN ROASTING COM,8.25,CREDIT CARD,Iced Latte,,
8/05/2014,Sq Brooklyn Roasting,SQ *BROOKLYN ROASTING BROOKLYN NY,13.5,BankAmericard Platinum Plus Visa,Iced Coffee,,
7/28/2014,Sq Brooklyn Roasting,CHECKCARD 0725 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164206000129654272,6.5,BofA Core Checking,Iced Coffee,,
6/25/2014,Sq Brooklyn Roasting,CHECKCARD 0624 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164175000582657132,8.25,BofA Core Checking,Iced Coffee,,
6/20/2014,Sq Brooklyn Roasting,CHECKCARD 0619 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164170000461971500,8,BofA Core Checking,Iced Coffee,,
1/07/2013,Sq Tar Pit,CHECKCARD 0104 SQ *TAR PIT New York NY 24692163004000171182764,10.5,BofA Core Checking,Iced Coffee,,
12/15/2012,Sq Tar Pit,SQ *TAR PIT,3.75,BankAmericard Platinum Plus Visa,Iced Coffee,,
11/16/2012,Sq Tar Pit,SQ *TAR PIT,8,BankAmericard Platinum Plus Visa,Iced Coffee,,
11/08/2012,Sq Tar Pit,CHECKCARD 1107 SQ *TAR PIT New York NY 24692162312000910163637,3.75,BofA Core Checking,Iced Coffee,,
5/11/2012,Dean & Deluca,DEAN&DELUCA #102 NEW YORK NY,33.5,BankAmericard Platinum Plus Visa,Iced Coffee,148,
2/01/2012,Fresh 7th Ave,CHECKCARD 0130 FRESH &#38  CO - 7TH AVE NEW YORK NY 24071052031158160680652,12.03,BofA Core Checking,Iced Coffee,,
1/06/2012,Dunkin Donuts,CHECKCARD 0104 DUNKIN #346080 Q35 NEWARK NJ 24610432005072012571957,6.82,BofA Core Checking,Iced Coffee,,
12/16/2011,Fresh 7th Ave,CHECKCARD 1214 FRESH &#38  CO - 7TH AVE NEW YORK NY 24071051349158114902730,12.72,BofA Core Checking,Iced Coffee,,
11/16/2011,Dunkin Donuts,CHECKCARD 1114 DUNKIN #342627 Q35 BROOKLYN NY 24610431319072015437597,4.42,BofA Core Checking,Iced Coffee,,
7/11/2014,Sq Roasting,SQ *BROOKLYN ROASTING,12.25,BankAmericard Platinum Plus Visa,Espresso,Espresso = 25,
7/08/2014,Sq Roasting,SQ *BROOKLYN ROASTING,8.25,BankAmericard Platinum Plus Visa,Espresso,,
6/19/2014,Sq Gimme Coffee,CHECKCARD 0618 SQ *GIMME! COFFEE Brooklyn NY 24692164169000030619674,4.25,BofA Core Checking,Espresso,,
Date,Description,Original Description,Amount,Account Name,Drink Type,Notes,
9/19/2014,Sq Tar Pit,SQ *TAR PIT,3,CREDIT CARD,Cortado,,
9/10/2014,Sq Ur Cup,CHECKCARD 0909 SQ *UR CUP New York NY 24692164252000359103969,3.8,BofA Core Checking,Cortado,,
9/08/2014,Sq Ur Cup,CHECKCARD 0905 SQ *UR CUP New York NY 24692164248000571854016,6.3,BofA Core Checking,Cortado,,
8/11/2014,Sq Matching Half,CHECKCARD 0808 SQ *MATCHING HALF San FranciscoCA 24692164220000260730172,8.7,BofA Core Checking,Cortado,,
8/07/2014,Sq Matching Half,CHECKCARD 0806 SQ *MATCHING HALF San FranciscoCA 24692164218000319779265,10.5,BofA Core Checking,Cortado,,
8/01/2014,Sq Brooklyn Roasting,CHECKCARD 0731 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164212000616584687,4.5,BofA Core Checking,cortado,,
7/29/2014,Sq Brooklyn Roasting,CHECKCARD 0728 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164209000278475237,10.75,BofA Core Checking,cortado,,
7/17/2014,Sq Brooklyn Roasting,CHECKCARD 0716 SQ *BROOKLYN ROASTING C Brooklyn NY 24692164197000098290935,13.25,BofA Core Checking,Cortado,,
6/16/2014,Sq Tar Pit,CHECKCARD 0613 SQ *TAR PIT Brooklyn NY 24692164164000858754541,4,BofA Core Checking,Cortado,,
6/09/2014,Sq Tar Pit,SQ *TAR PIT,9,BankAmericard Platinum Plus Visa,Cortado,,
6/06/2014,Sq Tar Pit,CHECKCARD 0605 SQ *TAR PIT Brooklyn NY 24692164156000254055840,4,BofA Core Checking,Cortado,,
6/02/2014,Sq Tar Pit,CHECKCARD 0601 SQ *TAR PIT Brooklyn NY 24692164152000446932736,7,BofA Core Checking,Cortado,,
5/31/2014,Sq Tar Pit,SQ *TAR PIT,4,BankAmericard Platinum Plus Visa,Cortado,,
5/30/2014,Sq Roasting Com,SQ *BROOKLYN ROASTING COM,8.25,CREDIT CARD,Cortado,,
5/30/2014,Sq Tar Pit,SQ *TAR PIT,7.75,BankAmericard Platinum Plus Visa,Cortado,,
5/22/2014,Sq Tar Pit,SQ *TAR PIT,4,CREDIT CARD,Cortado,,
5/06/2014,Sq Birch Coffee,CHECKCARD 0505 SQ *BIRCH COFFEE New York NY 24692164125000596792025,7.52,BofA Core Checking,Cortado,,
4/04/2014,Gp Ur Cup,CHECKCARD 0403 GP*UR CUP COFFEE & TEA NEW YORK NY 24492154094401360593419,3.75,BofA Core Checking,cortado,,
3/27/2014,Sq Tar Pit,CHECKCARD 0326 SQ *TAR PIT Brooklyn NY 24692164085000171827442,6.75,BofA Core Checking,cortado,,
2/11/2014,Gp Ur Cup,CHECKCARD 0210 GP*UR CUP COFFEE & TEA NEW YORK NY 24492154042401291973519,8.25,BofA Core Checking,Cortado,,
2/10/2014,Sq Tar Pit,CHECKCARD 0208 SQ *TAR PIT New York NY 24692164039000395793203,6.5,BofA Core Checking,Cortado,,
1/22/2014,Gp Ur Cup,GP*UR CUP COFFEE & TEA,8.75,CREDIT CARD,Cortado,,
1/21/2014,Sq Tar Pit,SQ *TAR PIT,13.23,CREDIT CARD,Cortado,,
1/19/2014,Sq Tar Pit,SQ *TAR PIT,4.75,CREDIT CARD,Cortado,,
1/08/2014,Sq Tar Pit,SQ *TAR PIT,7,CREDIT CARD,Cortado,,
12/18/2013,Think Coffee,CHECKCARD 1216 THINK COFFEE NEW YORK NY 24224433352101049486361,14.07,BofA Core Checking,Cortado,,
11/26/2013,Ur Cup Coffee,UR CUP COFFEE & TEA NEW YORK NY,6.25,BankAmericard Platinum Plus Visa,Cortado,,
11/18/2013,Sq Tar Pit,SQ *TAR PIT,4,CREDIT CARD,Cortado,,
11/15/2013,Ur Cup Coffee,UR CUP COFFEE & TEA,5.25,CREDIT CARD,Cortado,,
