CensusTract,State,County,LAT,LON,Urban,Rural,housing units,total pop,pop 1 mile low access
36005000100,NY,Bronx,40.7934921,-73.8835318,1,0,0,11091,7657.187355
36005000200,NY,Bronx,40.8045733,-73.8568585,1,0,1351,4334,52.98109424
36005000400,NY,Bronx,40.8089152,-73.8504884,1,0,1786,5503,263.8288419
36005001600,NY,Bronx,40.8188478,-73.8580764,1,0,1925,5643,0
36005001900,NY,Bronx,40.800999,-73.9093729,1,0,550,1917,0
36005002000,NY,Bronx,40.8175801,-73.8660962,1,0,3019,8731,0
36005002300,NY,Bronx,40.8090843,-73.9258461,1,0,1774,4933,0
36005002400,NY,Bronx,40.8157533,-73.8711124,1,0,1,4,0
36005002500,NY,Bronx,40.8070029,-73.9208781,1,0,1824,5491,0
36005002701,NY,Bronx,40.8050514,-73.9163293,1,0,1042,3113,0
36005002702,NY,Bronx,40.8064374,-73.913737,1,0,1290,4475,0
36005002800,NY,Bronx,40.8225183,-73.8782336,1,0,2342,5586,0
36005003100,NY,Bronx,40.8098763,-73.9056946,1,0,513,1597,0
36005003300,NY,Bronx,40.8082226,-73.9119246,1,0,1092,3413,0
36005003500,NY,Bronx,40.8109651,-73.9086696,1,0,1274,3761,0
36005003700,NY,Bronx,40.8114424,-73.912187,1,0,111,245,0
36005003800,NY,Bronx,40.8202946,-73.8633435,1,0,414,1264,0
36005003900,NY,Bronx,40.8097217,-73.9214264,1,0,1986,6475,0
36005004001,NY,Bronx,40.8282719,-73.8583355,1,0,536,1420,0
36005004100,NY,Bronx,40.8113856,-73.9194099,1,0,1970,6127,0
36005004200,NY,Bronx,40.8239307,-73.8620059,1,0,2719,7143,0
36005004300,NY,Bronx,40.8136213,-73.9170376,1,0,1605,5056,0
36005004400,NY,Bronx,40.8265305,-73.8663677,1,0,1662,4797,0
36005004600,NY,Bronx,40.8224207,-73.8691745,1,0,621,1555,0
36005004800,NY,Bronx,40.8270043,-73.8743239,1,0,1327,3883,0
36005005001,NY,Bronx,40.824997,-73.8778533,1,0,1487,4767,0
36005005002,NY,Bronx,40.8273629,-73.878435,1,0,1783,5823,0
36005005100,NY,Bronx,40.813308,-73.9273822,1,0,1960,5810,0
36005005200,NY,Bronx,40.8256416,-73.8824356,1,0,775,2031,0
36005005300,NY,Bronx,40.851772,-73.9221829,1,0,1656,4669,0
36005005400,NY,Bronx,40.8298875,-73.8797806,1,0,1760,5853,0
36005005600,NY,Bronx,40.8326118,-73.8790757,1,0,942,2711,0
36005005902,NY,Bronx,40.824086,-73.9234467,1,0,1051,2582,0
36005006000,NY,Bronx,40.8377032,-73.8780437,1,0,360,1129,0
36005006100,NY,Bronx,40.8222516,-73.9226669,1,0,2077,3713,0
36005006200,NY,Bronx,40.8332811,-73.8754495,1,0,2343,6585,0
36005006300,NY,Bronx,40.8242061,-73.9287302,1,0,1900,5280,0
36005006400,NY,Bronx,40.8329646,-73.8721701,1,0,1311,3967,0
36005006500,NY,Bronx,40.8173917,-73.9216557,1,0,1814,5337,0
36005006700,NY,Bronx,40.8195023,-73.9181767,1,0,2287,6984,0
36005006800,NY,Bronx,40.8289603,-73.8705138,1,0,1017,2897,0
36005006900,NY,Bronx,40.8218666,-73.9157567,1,0,2558,7564,0
36005007000,NY,Bronx,40.8298152,-73.8656233,1,0,1492,4584,0
36005007100,NY,Bronx,40.8182206,-73.912832,1,0,616,1907,0
36005007200,NY,Bronx,40.8310452,-73.8606985,1,0,1762,5432,0
36005007300,NY,Bronx,40.8146752,-73.909389,1,0,1282,3893,0
36005007400,NY,Bronx,40.8194734,-73.8528608,1,0,1378,3710,0
36005007500,NY,Bronx,40.8187783,-73.9086255,1,0,1580,4869,0
36005007600,NY,Bronx,40.8333737,-73.8676538,1,0,1723,5190,0
36005007700,NY,Bronx,40.8197339,-73.9044231,1,0,576,1927,0
