headline 	 snippet 	 date	name
Kenneth A. Schechter, 83, Dies; With Help, He Flew Blind	Mr. Schechter, then Ensign Schechter, a Navy pilot during the Korean War, was at the heart of one of the most electrifying air rescues in American military history.	2013-12-22T00:00:00Z	Kenneth A. Schechter
Edward I. Koch, a Mayor as Brash, Shrewd and Colorful as the City He Led, Dies at 88	Mr. Koch, a showman of City Hall, was a three-term mayor who steered New York City through the fiscal austerity of the late 1970s and the racial conflicts of the 1980s.	2013-02-02T00:00:00Z	Edward I. Koch
Father’s Custody Battle Preceded High-Rise Plunge	Dmitriy Kanarikov was visiting with his son, 3, when he threw him off a tower and jumped himself, the police said. His friends said he hadn’t shown any signs of violence.	2013-12-24T00:00:00Z	Father’s Custody Battle Preceded High-Rise Plunge
Seamus Heaney, Irish Poet of Soil and Strife, Dies at 74	Mr. Heaney, a widely celebrated Irish poet who won the Nobel Prize in Literature in 1995, is recognized as one of the major poets of the 20th century.	2013-08-31T00:00:00Z	Seamus Heaney
Philip Caldwell, First Nonfamily Member to Head Ford, Is Dead at 93	Outsiders were stunned when Henry Ford II dismissed Lee Iacocca as president of Ford Motor in 1977 and elevated Mr. Caldwell, who was nearly unknown outside the company.	2013-07-12T00:00:00Z	Philip Caldwell
George Gund III, Owner of Sports Teams, Dies at 75	Mr. Gund loved hockey, buying several teams, and he loved film, nurturing directors like Francis Ford Coppola and supporting film festivals around the world, including Sundance.	2013-01-21T00:00:00Z	George Gund III
Mad Dog Vachon, Pro Wrestler, Dies at 84	Over a 40-year career, Mr. Vachon developed a degree of showmanship that influenced today’s over-the-top antics.	2013-11-26T00:00:00Z	Mad Dog Vachon
Dale Robertson, a Horse-Savvy Actor in Westerns, Is Dead at 89	Mr. Robertson appeared in more than 60 movies but was very likely known more for his television work in shows like “Tales of Wells Fargo” and “Iron Horse” and as a host of “Death Valley Days.”	2013-02-28T00:00:00Z	Dale Robertson
Wayne Miller, Magnum Photographer, Dies at 94	Mr. Miller once said that what he wanted to do was “to photograph mankind and explain man to man.”	2013-05-25T00:00:00Z	Wayne Miller
Tommy Morrison, Boxer and Co-Star in ‘Rocky V,’ Dies at 44	Mr. Morrison defeated George Foreman for the heavyweight title and starred as a boxing protégé of Rocky Balboa’s in “Rocky V.”	2013-09-03T00:00:00Z	Tommy Morrison
Death of a Russian Orphan	Last October, Max Shatto was adopted from an orphanage in northwest Russia. Three months later, he was dead.	2013-08-31T11:51:48Z	Death of a Russian Orphan
