headline 	 snippet 	 date
"Imre Molnar, Provost at College for Creative Studies, Dies at 61"	He was instrumental in the expansion of the transportation design program and helped create an M.F.A. in fine arts.	2013-01-03T14:00:54Z
"Andrew P. Oâ€™Rourke, 79, Rival to Mario Cuomo, Dies"	"Mr. Oâ€™Rourke, a Republican, managed Westchester County for 14 years and ran for New York governor against the popular incumbent in 1986."	2013-01-05T00:00:00Z
"Sergiu Nicolaescu, Romanian Film Director, Dies at 82"	Mr. Nicolaescu was a Social Democratic Party senator from 1992 until he stepped down last month.	2013-01-07T00:00:00Z
"Tony Lip, Mobster in â€˜The Sopranos,â€™ Dies at 82"	"Before becoming an actor known for playing a mobster, Mr. Lip worked at the Copacabana nightclub in Manhattan."	2013-01-07T00:00:00Z
"John Thomas, Who Set Standard in High Jump, Dies at 71"	"Mr. Thomas, the first high jumper to clear 7 feet indoors, was perhaps best known for his cold war rivalry with Valery Brumel of the Soviet Union."	2013-01-20T00:00:00Z
"George Gund III, Owner of Sports Teams, Dies at 75"	"Mr. Gund loved hockey, buying several teams, and he loved film, nurturing directors like Francis Ford Coppola and supporting film festivals around the world, including Sundance."	2013-01-21T00:00:00Z
"Antonio Frasconi, Woodcut Master, Dies at 93"	"Mr. Frasconi used his woodcuts to comment on everything from the dictatorship in Uruguay, where he grew up, to the Kent State shootings of 1970."	2013-01-22T00:00:00Z
"Balthazar Korab, 1926-2013"	"Mr. Korab, a leading architectural photographer, died Jan. 15 in Royal Oak, Mich. He was 86."	2013-01-25T00:00:00Z
"Larry Selman, Who Aided Others $1 at a Time, Dies at 70"	"Mr. Selman, who was said to have a low I.Q. but was an active fund-raiser for multiple causes, was the subject of the 2002 documentary â€œThe Collector of Bedford Street.â€ù"	2013-01-25T00:00:00Z
"Nguyen Khanh, General Who Led Coup, Dies at 86"	"General Khanh bloodlessly seized control of South Vietnamâ€™s government in 1964, but his rule as premier lasted only a year as he was deposed by a junta of junior officers."	2013-01-28T00:00:00Z
"Jean-LÃ©on DestinÃ©, Dancer, Dies at 94"	"Considered the father of Haitian professional dance, Mr. DestinÃ© first came to international attention in the 1940s and remained prominent for decades afterward."	2013-01-30T00:00:00Z
"Edward I. Koch, a Mayor as Brash, Shrewd and Colorful as the City He Led, Dies at 88"	"Mr. Koch, a showman of City Hall, was a three-term mayor who steered New York City through the fiscal austerity of the late 1970s and the racial conflicts of the 1980s."	2013-02-02T00:00:00Z
"Ferrol Sams, Doctor Turned Novelist, Dies at 90"	"Dr. Sams, a country doctor in Georgia, was in his 50s before he began a career as a novelist, drawing on his practice and rural upbringing for material."	2013-02-02T00:00:00Z
"Earl Williams, Baseball Slugger, Dies at 64"	"Williams won the National Leagueâ€™s rookie of the year award in 1971, but was out of major league baseball by the end of the decade."	2013-02-02T00:00:00Z
"Stuart Freeborn, â€˜Star Warsâ€™ Makeup Artist, Dies at 98"	"Mr. Freeborn created characters like Yoda and did extensive work on dozens of other films. George Lucas, the â€œStar Warsâ€ù director, called him â€œa makeup legend.â€ù"	2013-02-08T00:00:00Z
"Peter Hauri, Psychologist Who Focused on Insomnia, Dies at 79"	Dr. Hauri was one of the first researchers to study the mechanics of a good nightâ€™s sleep.	2013-02-08T00:00:00Z
"John Kerr, Star of â€˜Tea and Sympathy,â€™ Dies at 81"	Mr. Kerr was a Tony Award winner known for roles in the 1950s that challenged bigotry.	2013-02-09T00:00:00Z
"James DePreist, a Pioneering Conductor, Dies at 76"	"Mr. DePreist, one of the few black conductors to achieve international renown, refused to let disability derail his career."	2013-02-10T00:00:00Z
