//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
Golden stream |~~|jj nn  |~~|1/0 1  |~~|0 0 0
In the cold |~~|in dt jj  |~~|0 0 1  |~~|38 89 0 0
It turns to ice |~~|prp vbz to nn  |~~|1 1 1 1  |~~|11 1 51 1 0
Runs down my knees in fright|~~|vbz rb prp$ nns in nn|~~|1 1 1 1 0 1|~~|0 0 22 0 38 1
Golden stream |~~|jj nn  |~~|1/0 1  |~~|0 0 0
Turns from warm to cold|~~|vbz in jj to jj|~~|1 1 1 1 1|~~|1 13 0 51 0
 In frightful time|~~|nn jj nn|~~|1 1/0 1|~~|0 0 5
 In the frozen dead of night|~~|nn dt nn jj in nn|~~|1 0 1/0 1 1 1|~~|0 89 2 0 26 6
The golden stone builds the golden road to heaven |~~|dt jj nn vbz dt jj nn to nn  |~~|0 1/0 1 1 0 1/0 1 1 1/0  |~~|89 0 0 0 89 0 0 51 0 0
Held up high by golden streams of ice|~~|vbn in jj in jj nns in nn|~~|1 1 1 1 1/0 1 1 1|~~|0 3 0 6 0 0 26 1
 My golden bone meets the golden bun|~~|nn jj nn vbz dt jj nn|~~|1 1/0 1 1 0 1/0 1|~~|0 0 0 0 89 0 0
 Buns held high in our dreams of men|~~|nn vbn jj in prp$ nns in nns|~~|1 1 1 0 1/0 1 1 1|~~|0 0 0 38 8 1 26 0
Golden streams of ice In the cold |~~|jj nns in nn dt jj  |~~|1/0 1 1 1/1 0 1  |~~|0 0 26 0 89 0 0
Hold up a city of gold |~~|vb in dt nn in nn  |~~|1 1 1 1/0 1 1  |~~|4 3 43 0 26 0 0
That lives in broad daylight|~~|in nns in jj nn|~~|1 1 0 1 1/1|~~|15 0 38 0 0
Two golden streams|~~|cd jj nns|~~|0 1/0 1|~~|0 0 0
 Run down my cheeks |~~|nn rb prp$ nns  |~~|1 1 1 1  |~~|0 0 22 0 0
When buns are deprived |~~|wrb nns vbp vbn  |~~|1 1 1 0/1  |~~|9 0 3 0 0
Of my dreams of men|~~|in prp$ nns in nns|~~|1 1 1 1 1|~~|26 22 1 26 0
I hold the golden bone on the golden road to heaven |~~|nnp vb dt jj nn in dt jj nn to nn  |~~|1 1 0 1/0 1 1 0 1/0 1 1 1/0  |~~|57 4 89 0 0 29 89 0 0 51 0 0
Held up high by golden streams of ice |~~|vbn in jj in jj nns in nn  |~~|1 1 1 1 1/0 1 1 1  |~~|0 3 0 6 0 0 26 1 0
The golden bone belongs in golden bun |~~|dt jj nn vbz in jj nn  |~~|0 1/0 1 0/1 0 1/0 1  |~~|89 0 0 1 38 0 0 0
Bone and bun held high in my dreams of us|~~|nnp cc nn vbn jj in prp$ nns in prp|~~|1 1 1 1 1 0 1 1 1 1|~~|0 47 0 0 0 38 22 1 26 1
My golden wand waves down your golden rod|~~|prp$ jj nn nns rb prp$ jj nn|~~|1 1/0 1 1 1 1 1/0 1|~~|22 0 0 0 0 26 0 0
