rec_no,commodity,site_name,company_na,state_loca,county,latitude,longitude,plant_min
1,Aluminum,"Evansville (Warrick) Smelter","Alcoa Inc",Indiana,Warrick,37.915,-87.336,P
2,Aluminum,"Hawesville Smelter","Century Aluminum Co",Kentucky,Hancock,37.942,-86.786,P
3,Aluminum,"Sebree Smelter","Alcan Inc",Kentucky,Henderson,37.65,-87.5,P
4,Aluminum,"Burnside Refinery","Ormet Corp",Louisiana,Ascension,30.138,-90.923,P
5,Aluminum,"Gramercy Refinery","Kaiser Aluminum & Chemical Corp",Louisiana,"Saint James",30.049,-90.755,P
6,Aluminum,"Frederick (Eastalco) Smelter","Alcoa Inc",Maryland,Frederick,39.334,-77.469,P
7,Aluminum,"New Madrid Smelter","Noranda Aluminum Inc",Missouri,"New Madrid",36.51,-89.564,P
8,Aluminum,"Columbia Falls Smelter","Columbia Falls Aluminum Co",Montana,Flathead,48.392,-114.139,P
9,Aluminum,"Massena (St. Lawrence) Smelter","Alcoa Inc","New York","Saint Lawrence",44.983,-74.75,P
10,Aluminum,"Massena Smelter","Alcoa Inc","New York","Saint Lawrence",44.943,-74.881,P
11,Aluminum,"Hannibal Smelter","Ormet Corp",Ohio,Monroe,39.675,-80.873,P
12,Aluminum,"Mount Holly Smelter","Alcoa Inc","South Carolina",Berkeley,33.045,-80.05,P
13,Aluminum,"Alcoa Smelter","Alcoa Inc",Tennessee,Blount,35.781,-83.968,P
14,Aluminum,"Point Comfort Refinery","Alcoa Inc",Texas,Calhoun,28.673,-96.554,P
15,Aluminum,"Rockdale Smelter","Alcoa Inc",Texas,Milam,30.562,-97.076,P
16,Aluminum,"Corpus Christi Refinery","BPU Reynolds",Texas,"San Patricio",27.883,-97.25,P
17,Aluminum,"Goldendale Smelter","Goldendale Aluminum Co",Washington,Klickitat,45.729,-120.681,P
18,Aluminum,"Ferndale (Intalco) Smelter","Alcoa Inc",Washington,Whatcom,48.847,-122.706,P
19,Aluminum,"Ravenswood Smelter","Century Aluminum Co","West Virginia",Jackson,38.934,-81.826,P
20,Antimony,"Thompson Falls","US Antimony Corp",Montana,Sanders,47.593,-115.597,P
21,Antimony,"La Porte","Laurel Industries Inc",Texas,Harris,29.657,-95.036,P
22,"Ball Clay","Nichols Mine","Kentucky-Tennessee Clay Co",Kentucky,Carlisle,36.828,-88.901,M
23,"Ball Clay","Hayden Mine","Kentucky-Tennessee Clay Co",Kentucky,Graves,36.774,-88.791,M
24,"Ball Clay","Hickory Mine","Old Hickory Clay Co",Kentucky,Graves,36.824,-88.667,M
25,"Ball Clay","Hickory Plant","Old Hickory Clay Co",Kentucky,Graves,36.798,-88.647,P
26,"Ball Clay","Lamkin Mine","Old Hickory Clay Co",Kentucky,Graves,36.814,-88.668,M
27,"Ball Clay","Mayfield Mine","Kentucky-Tennessee Clay Co",Kentucky,Graves,36.695,-88.695,M
28,"Ball Clay","Mayfield Plant","Kentucky-Tennessee Clay Co",Kentucky,Graves,36.795,-88.649,P
29,"Ball Clay","Milby Mine","Kentucky-Tennessee Clay Co",Kentucky,Graves,36.8,-88.7,M
30,"Ball Clay","Sims Mine","Kentucky-Tennessee Clay Co",Kentucky,Graves,36.8,-88.7,M
31,"Ball Clay","Smith Mine","Kentucky-Tennessee Clay Co",Kentucky,Graves,36.782,-88.659,M
32,"Ball Clay","B-2 Mine","Unimin Corp",Mississippi,Benton,35.97,-88.222,M
33,"Ball Clay","Plant 3 Site","Unimin Corp",Mississippi,Benton,36.041,-88.176,M
34,"Ball Clay","Rooker Mine","Kentucky-Tennessee Clay Co",Mississippi,Benton,34.642,-89.142,M
35,"Ball Clay","Aberdeen Plant","Unimin Corp",Mississippi,Monroe,33.768,-88.573,P
36,"Ball Clay","Addison Mine","Kentucky-Tennessee Clay Co",Mississippi,Panola,34.469,-90.143,M
37,"Ball Clay","Crenshaw Plant","Kentucky-Tennessee Clay Co",Mississippi,Panola,34.5,-90.905,P
38,"Ball Clay","Mine 23 - Perry","HC Spinks Clay Co Inc",Tennessee,Carroll,35.875,-88.467,M
39,"Ball Clay","Mine 3","Unimin Corp",Tennessee,Carroll,36.004,-88.499,M
40,"Ball Clay","Oglebay/Norton Mine","Kentucky-Tennessee Clay Co",Tennessee,Carroll,35.898,-88.442,M
41,"Ball Clay","Storey Mine","Kentucky-Tennessee Clay Co",Tennessee,Carroll,35.867,-88.473,M
42,"Ball Clay","Lowery Mine","Kentucky-Tennessee Clay Co",Tennessee,Gibson,36.078,-88.75,M
43,"Ball Clay","Cottage Grove Mine #4","Old Hickory Clay Co",Tennessee,Henry,36.41,-88.461,M
44,"Ball Clay","Cunningham Mine","Kentucky-Tennessee Clay Co",Tennessee,Henry,36.351,-88.529,M
45,"Ball Clay","Mine #10 - Black Charm","HC Spinks Clay Co Inc",Tennessee,Henry,36.417,-88.364,M
