LAT,LON                                                                                                                  ,Urban,Rural,"Housing units, total","low access, people at 1 mile "
42.6637001,-73.7369472,1,0,784,461.6434674
42.6644129,-73.7515039,1,0,2514,4628.271722
42.6806139,-73.7830038,1,0,2581,1293.579097
42.7055639,-73.8648837,1,0,1017,484.2443863
42.6768719,-73.8052761,1,0,2196,371.1041993
42.6905365,-73.8283764,1,0,12,1136.55304
42.6703394,-73.7824279,1,0,1559,0
42.6670082,-73.7867332,1,0,872,0
42.6645893,-73.773647,1,0,1409,0
42.6690764,-73.763715,1,0,1413,0
42.6603638,-73.7652144,1,0,1015,0
42.6525522,-73.7500591,1,0,705,200.7572527
42.6559725,-73.7688498,1,0,2404,0
42.6575003,-73.7816778,1,0,2228,0
42.6586329,-73.7895279,1,0,1768,0
42.6609261,-73.7988658,1,0,1824,119.5018845
42.6460368,-73.822119,1,0,3246,4427.067221
42.6690192,-73.8204195,1,0,1973,3575.575999
42.650638,-73.7922657,1,0,1148,32.52112746
42.6449334,-73.7963715,1,0,1131,410.4354234
42.6350207,-73.7852831,1,0,2414,0
42.6503316,-73.7775366,1,0,1251,0
42.6504203,-73.7654808,1,0,1366,0
42.6450868,-73.7637113,1,0,1020,0
42.6407095,-73.7559725,1,0,1311,274.4764592
42.6292541,-73.7656313,1,0,1996,604.8994446
42.7702924,-73.6881176,1,0,1120,0
42.7645455,-73.7005201,1,0,1755,0
42.7831023,-73.7090108,1,0,1740,422.1084363
42.7740027,-73.7177921,1,0,2852,1974.052896
42.7478701,-73.6925954,1,0,1286,132.2491709
42.728377,-73.7010838,1,0,1642,0
42.7310632,-73.7106672,1,0,2074,0
42.7151114,-73.7063321,1,0,1111,0
42.7642175,-73.7420167,1,0,1815,3197.842562
42.7366823,-73.7467164,1,0,1026,1596.230225
42.7460925,-73.7290222,1,0,2706,2065.628754
42.7494304,-73.7792658,1,0,1055,573.5671824
42.780864,-73.7775285,1,0,2519,4686.730778
42.71876,-73.7356457,1,0,3101,7999.940249
42.6911799,-73.7261881,1,0,2162,224.0498162
42.7453667,-73.814809,1,0,603,1755.233019
42.7020353,-73.7863325,1,0,2868,567.47523
42.6987926,-73.7648755,1,0,815,878.6391948
42.7183889,-73.7714882,1,0,2581,4167.063447
42.7469391,-73.8808746,1,0,3082,3660.963316
42.7648758,-73.8439681,1,0,1587,3625.271253
42.716176,-73.8444382,1,0,983,194.6678138
42.7231026,-73.8271334,1,0,2242,117.9427719
42.7056536,-73.8100987,1,0,1973,0
42.6930948,-73.7942738,1,0,1970,1006.429696
42.6357148,-73.8590708,1,0,2295,2781.835157
42.6124506,-73.7958876,1,0,2181,428.7452854
42.6215878,-73.8637582,1,0,2506,4221.759694
42.6068772,-73.8460798,1,0,2470,5121.927406
42.5647707,-73.7820599,0,1,1092,2582.228551
42.5643092,-73.8386878,1,0,2913,6394.280578
42.4912815,-73.8751024,0,1,1655,3506.514645
42.4755465,-73.8112139,1,0,1337,108.5520356
42.6323672,-73.952994,0,1,968,1765.753524
42.5836894,-73.9436334,0,1,1378,3479.000007
42.6536623,-73.9342681,1,0,1112,531.3831393
42.7469088,-73.977372,1,0,1456,942.5510004
42.7294529,-73.9109795,1,0,3134,2373.596769
42.6894672,-73.8507315,1,0,1142,1353.886542
42.6741883,-73.8589353,1,0,2362,1801.542469
42.6909153,-73.9303795,1,0,781,955.572403
42.7053446,-74.033633,1,0,676,1720.000008
42.6979246,-74.0134699,1,0,1163,2862.999993
42.683709,-73.8767432,1,0,2302,1453.579257
42.6889487,-73.9123118,1,0,1189,143.4373054
42.6853531,-74.1056328,0,1,1026,2692.000004
42.6039171,-74.1303583,0,1,1166,2793.999996
42.4794765,-74.1786077,0,1,768,1843.000016
42.5003339,-74.0502911,0,1,1354,3301.554153
42.2312992,-78.3028177,0,1,1,0.886616538
42.4022117,-77.8349167,0,1,1040,2554.999999
42.4693329,-78.1949069,0,1,1434,4122.723759
42.2965494,-78.2138436,0,1,1466,3628.811734
42.1809786,-78.2297809,0,1,1572,2028.872751
42.2035897,-78.044259,0,1,1577,3945.138721
42.1804364,-77.9297261,0,1,1682,1574.418527
42.2649384,-77.8588871,0,1,1424,6384.000096
42.1465916,-77.8149561,0,1,1593,2507.984658
42.0359471,-77.893373,0,1,1337,2637.644924
42.0835692,-78.0403295,0,1,1581,1979.008238
42.0694397,-78.2051375,0,1,2015,3899.082361
42.3835917,-78.0308109,0,1,1486,2807.265519
40.7934921,-73.8835318,1,0,0,7657.187355
40.8045733,-73.8568585,1,0,1351,52.98109424
40.8089152,-73.8504884,1,0,1786,263.8288419
40.8188478,-73.8580764,1,0,1925,0
40.800999,-73.9093729,1,0,550,0
40.8175801,-73.8660962,1,0,3019,0
40.8090843,-73.9258461,1,0,1774,0
40.8157533,-73.8711124,1,0,1,0
40.8070029,-73.9208781,1,0,1824,0
40.8050514,-73.9163293,1,0,1042,0
40.8064374,-73.913737,1,0,1290,0
40.8225183,-73.8782336,1,0,2342,0
40.8098763,-73.9056946,1,0,513,0
40.8082226,-73.9119246,1,0,1092,0
40.8109651,-73.9086696,1,0,1274,0
40.8114424,-73.912187,1,0,111,0
40.8202946,-73.8633435,1,0,414,0
40.8097217,-73.9214264,1,0,1986,0
40.8282719,-73.8583355,1,0,536,0
40.8113856,-73.9194099,1,0,1970,0
